Russia;RUS;1945;0
Russia;RUS;1946;0
Russia;RUS;1947;0
Russia;RUS;1948;0
Russia;RUS;1949;1
Russia;RUS;1950;5
Russia;RUS;1951;25
Russia;RUS;1952;50
Russia;RUS;1953;120
Russia;RUS;1954;150
Russia;RUS;1955;200
Russia;RUS;1956;426
Russia;RUS;1957;660
Russia;RUS;1958;863
Russia;RUS;1959;1048
Russia;RUS;1960;1627
Russia;RUS;1961;2492
Russia;RUS;1962;3346
Russia;RUS;1963;4259
Russia;RUS;1964;5242
Russia;RUS;1965;6144
Russia;RUS;1966;7091
Russia;RUS;1967;8400
Russia;RUS;1968;9490
Russia;RUS;1969;10671
Russia;RUS;1970;11736
Russia;RUS;1971;13279
Russia;RUS;1972;14600
Russia;RUS;1973;15878
Russia;RUS;1974;17286
Russia;RUS;1975;19235
Russia;RUS;1976;22165
Russia;RUS;1977;24281
Russia;RUS;1978;26169
Russia;RUS;1979;28258
Russia;RUS;1980;30665
Russia;RUS;1981;32146
Russia;RUS;1982;33486
Russia;RUS;1983;35130
Russia;RUS;1984;36825
Russia;RUS;1985;38582
Russia;RUS;1986;40159
Russia;RUS;1987;38107
Russia;RUS;1988;36538
Russia;RUS;1989;35078
Russia;RUS;1990;32980
Russia;RUS;1991;29154
Russia;RUS;1992;26734
Russia;RUS;1993;24403
Russia;RUS;1994;21339
Russia;RUS;1995;18179
Russia;RUS;1996;15942
Russia;RUS;1997;15442
Russia;RUS;1998;14368
Russia;RUS;1999;13188
Russia;RUS;2000;12188
Russia;RUS;2001;11152
Russia;RUS;2002;10114
Russia;RUS;2003;9076
Russia;RUS;2004;8038
Russia;RUS;2005;7000
Russia;RUS;2006;6643
Russia;RUS;2007;6286
Russia;RUS;2008;5929
Russia;RUS;2009;5527
Russia;RUS;2010;5215
Russia;RUS;2011;4858
Russia;RUS;2012;4750
Russia;RUS;2013;4650
Russia;RUS;2014;4600
Russia;RUS;2015;4500
Russia;RUS;2016;4490
Russia;RUS;2017;4300
Russia;RUS;2018;4350
Russia;RUS;2019;4330
Russia;RUS;2020;4310
Russia;RUS;2021;4495
Russia;RUS;2022;4477
